DATE,ABAN
2010-01-04,100
2010-01-05,100
2010-01-06,100
2010-01-07,100
2010-01-08,107.25
2010-01-11,105
2010-01-12,110
2010-01-13,110
2010-01-15,105
2010-01-19,102
2010-01-20,102.25
2010-01-21,105
2010-01-26,95.75
2010-01-28,101
2010-02-02,100
2010-02-03,105.25
2010-02-05,105
2010-02-08,118.25
2010-02-09,131.75
2010-02-10,135.5
2010-02-11,125.5
2010-02-12,115
2010-02-15,133
2010-02-16,130
2010-02-17,138
2010-02-18,143.5
2010-02-19,142.5
2010-02-22,145
2010-02-23,143.5
2010-02-24,143.5
2010-02-25,143
2010-03-01,144
2010-03-02,145
2010-03-08,140
2010-03-10,140
2010-03-12,145.25
2010-03-15,143
2010-03-16,148
2010-03-17,145
2010-03-19,140
2010-03-26,126
2010-03-30,144.75
2010-04-05,145
2010-04-06,145
2010-04-08,145
2010-04-12,145
2010-04-15,145
2010-04-16,145
2010-04-19,145
2010-04-20,145
2010-04-21,145
2010-04-22,147
2010-04-23,145
2010-04-27,160
2010-05-03,159
2010-05-04,150
2010-05-07,150
2010-05-10,181
2010-05-11,180.25
2010-05-12,194.5
2010-05-13,190
2010-05-14,189.5
2010-05-17,190
2010-05-18,186.25
2010-05-19,186
2010-05-20,184
2010-05-21,188.5
2010-05-24,187
2010-05-25,187.5
2010-05-26,186.75
2010-05-31,185
2010-06-01,194.5
2010-06-02,199.75
2010-06-03,198
2010-06-04,198.75
2010-06-07,197.25
2010-06-08,198
2010-06-09,203.75
2010-06-10,200
2010-06-11,204
2010-06-14,205
2010-06-15,201.75
2010-06-16,207
2010-06-17,202.5
2010-06-21,213
2010-06-22,212
2010-06-23,210
2010-06-24,218.25
2010-06-28,175
2010-06-29,182
2010-06-30,180.5
2010-07-01,181
2010-07-02,182.25
2010-07-05,183.75
2010-07-06,194
2010-07-07,179.5
2010-07-08,176.75
2010-07-09,177.75
2010-07-12,179.75
2010-07-13,179.75
2010-07-14,132.75
2010-07-15,130
2010-07-16,132
2010-07-19,130
2010-07-20,132
2010-07-21,130
2010-07-22,131
2010-07-23,130
2010-07-26,125.5
2010-07-27,125.5
2010-07-28,126
2010-07-29,125
2010-07-30,120
2010-08-02,125
2010-08-03,125.1
2010-08-04,125.3
2010-08-05,125
2010-08-06,125
2010-08-09,114
2010-08-10,125.1
2010-08-11,127.4
2010-08-12,121.1
2010-08-13,132.9
2010-08-16,145.9
2010-08-17,160.4
2010-08-18,168.9
2010-08-19,176.7
2010-08-20,177.7
2010-08-23,167
2010-08-25,169.4
2010-08-26,173.1
2010-08-27,180.4
2010-08-30,198.3
2010-08-31,209.8
2010-09-01,227.1
2010-09-02,249.8
2010-09-03,263
2010-09-06,257.3
2010-09-07,260
2010-09-08,257.6
2010-09-09,250.8
2010-09-13,251.2
2010-09-14,240.7
2010-09-15,247
2010-09-16,253.3
2010-09-17,265.8
2010-09-20,265
2010-09-21,260
2010-09-23,260.3
2010-09-24,260
2010-09-27,260
2010-09-28,254.3
2010-09-29,260.1
2010-09-30,265
2010-10-01,269.9
2010-10-04,265
2010-10-05,261
2010-10-06,259.9
2010-10-07,253.1
2010-10-08,250.7
2010-10-11,258
2010-10-12,243.2
2010-10-13,245.3
2010-10-14,240.1
2010-10-15,239.5
2010-10-18,240.7
2010-10-19,244
2010-10-20,249.5
2010-10-21,251.7
2010-10-25,252.1
2010-10-26,248
2010-10-27,245.1
2010-10-28,245
2010-10-29,250
2010-11-02,250
2010-11-03,245
2010-11-04,248.3
2010-11-08,240
2010-11-09,240
2010-11-10,239.6
2010-11-11,242.6
2010-11-12,242
2010-11-15,235
2010-11-16,245
2010-11-18,243.9
2010-11-22,249.8
2010-11-24,242.5
2010-11-25,240.1
2010-11-26,238
2010-11-29,240
2010-12-02,241.1
2010-12-06,241.2
2010-12-07,241.2
2010-12-08,242
2010-12-09,248.7
2010-12-10,242
2010-12-13,242
2010-12-14,242.3
2010-12-15,255.2
2010-12-16,250
2010-12-17,249.7
2010-12-21,255
2010-12-22,260.3
2010-12-23,263
2010-12-27,255
2010-12-28,255
2010-12-29,258.6
2010-12-30,259
2010-12-31,260
2011-01-03,260
2011-01-04,251
2011-01-06,252
2011-01-07,256.9
2011-01-10,265.7
2011-01-11,282.1
2011-01-12,291.7
2011-01-13,297.5
2011-01-14,295.6
2011-01-17,300.3
2011-01-18,335.3
2011-01-20,334.9
2011-01-21,322.5
2011-01-24,320
2011-01-25,310
2011-01-26,309
2011-01-27,310.5
2011-01-28,310
2011-01-31,300.9
2011-02-01,297
2011-02-02,297.3
2011-02-03,307
2011-02-07,305.3
2011-02-08,300
2011-02-09,293.7
2011-02-10,299.8
2011-02-11,320.8
2011-02-14,312.5
2011-02-15,311.3
2011-02-18,308
2011-02-21,307.9
2011-02-22,300.1
2011-02-23,295
2011-02-24,293
2011-02-25,300.1
2011-02-28,309.2
2011-03-03,280.6
2011-03-04,277.4
2011-03-07,280.7
2011-03-08,280.6
2011-03-09,280
2011-03-10,280
2011-03-11,280
2011-03-14,280
2011-03-15,274
2011-03-16,270
2011-03-17,270
2011-03-21,266.2
2011-03-22,270
2011-03-28,267
2011-03-29,256
2011-03-31,258.1
2011-04-01,269.8
2011-04-04,269.8
2011-04-05,270
2011-04-06,272
2011-04-07,290
2011-04-11,289
2011-04-12,278
2011-04-18,285.5
2011-04-19,305.5
2011-04-21,307.1
2011-04-25,290
2011-04-26,296
2011-04-27,309.7
2011-04-28,312.6
2011-04-29,308
2011-05-03,290.7
2011-05-04,290
2011-05-05,287
2011-05-06,284.4
2011-05-09,288.1
2011-05-10,300
2011-05-11,300
2011-05-12,300
2011-05-13,302.9
2011-05-16,295
2011-05-19,295.4
2011-05-20,300
2011-05-23,295.6
2011-05-24,343.9
2011-05-25,335.5
2011-05-26,336
2011-05-27,337.9
2011-05-30,322
2011-05-31,331.3
2011-06-01,330.6
2011-06-02,310.2
2011-06-03,310.8
2011-06-06,320
2011-06-07,330
2011-06-09,310
2011-06-10,310
2011-06-13,304.7
2011-06-14,288.7
2011-06-16,270.2
2011-06-20,272.3
2011-06-21,276.5
2011-06-22,276.1
2011-06-23,273.1
2011-06-24,288.5
2011-06-27,275
2011-06-28,272
2011-06-29,270.2
2011-06-30,271.4
2011-07-01,271
2011-07-04,270
2011-07-05,267
2011-07-06,267
2011-07-07,262.5
2011-07-08,260.1
2011-07-11,259.3
2011-07-12,255.1
2011-07-13,275
2011-07-15,260
2011-07-18,255.6
2011-07-19,255.1
2011-07-20,256.5
2011-07-21,252
2011-07-22,240.1
2011-07-25,241.2
2011-07-26,245
2011-07-27,244
2011-07-28,245.5
2011-07-29,251.6
2011-08-01,250.1
2011-08-02,250
2011-08-04,250
2011-08-05,245
2011-08-08,238.4
2011-08-09,245.1
2011-08-10,251.2
2011-08-11,255
2011-08-12,255
2011-08-15,252
2011-08-16,261.4
2011-08-17,255
2011-08-18,255
2011-08-22,247
2011-08-23,247.7
2011-08-24,247.3
2011-08-25,246
2011-08-26,245.5
2011-08-29,246
2011-08-30,235.3
2011-09-02,242
2011-09-05,249.1
2011-09-06,250
2011-09-07,249.3
2011-09-08,254.6
2011-09-09,255.2
2011-09-12,260
2011-09-13,261.4
2011-09-14,252.9
2011-09-15,255
2011-09-16,250.4
2011-09-20,250
2011-09-21,245
2011-09-26,241.3
2011-09-27,240.4
2011-09-28,249.8
2011-09-29,250
2011-09-30,246
2011-10-03,243
2011-10-04,245
2011-10-05,245.5
2011-10-06,250.1
2011-10-07,248.2
2011-10-10,243
2011-10-12,242
2011-10-13,240
2011-10-14,240
2011-10-17,227.9
2011-10-18,221.8
2011-10-19,210.7
2011-10-20,211.3
2011-10-21,222.7
2011-10-24,235
2011-10-25,213.7
2011-10-27,220
2011-10-28,210.8
2011-10-31,212.7
2011-11-01,209.7
2011-11-02,219
2011-11-03,210
2011-11-04,219.1
2011-11-08,200
2011-11-09,200
2011-11-11,197
2011-11-14,197
2011-11-16,190.8
2011-11-17,197
2011-11-18,203.6
2011-11-23,195
2011-11-24,195.3
2011-11-25,185.1
2011-11-28,193.1
2011-11-29,192
2011-11-30,195.8
2011-12-01,208
2011-12-02,200
2011-12-05,191.7
2011-12-06,191.6
2011-12-07,191
2011-12-09,190
2011-12-12,189.5
2011-12-13,185.5
2011-12-14,187
2011-12-16,180.3
2011-12-20,173
2011-12-22,189.6
2011-12-23,190
2011-12-27,197
2011-12-29,199.7
2011-12-30,190.1
2012-01-02,189
2012-01-03,189
2012-01-04,188
2012-01-06,186.1
2012-01-09,180.1
2012-01-10,179
2012-01-11,178.3
2012-01-13,172.2
2012-01-17,187
2012-01-19,180
